id,gen,smile,source,weight,logp,qed,score
AAAA,00,CCCCCCCCCCCCCCNC(=O)c1ccc(CNC2CCON(CCCC(=O)OC)CC2)cc1,generated,545.8090000000005,6.556300000000008,0.13458276650566306,99.9
AAAB,00,COc1ccc2nc(C)nc(N)c2n1,generated,190.206,0.9240199999999998,0.7234349453075772,99.9
AAAC,00,O=C(Nc1ccc(C(=O)NC2CCCCC2)cc1)Nc1ccc(-c2cccc(F)c2)cc1,generated,431.51100000000025,6.199200000000005,0.45013555531590665,99.9
AAAD,00,N#Cc1ccc(NC(=O)C2CCN(C(=O)c3ccc(C(F)(F)F)cc3)CC2)nn1,generated,403.36400000000003,2.8579800000000013,0.8497361834484466,99.9
AAAE,00,COC(=O)CN1Cc2ccccc2C(=O)N1CCCCCCCCO,generated,348.44300000000015,2.365300000000001,0.5191699326580074,99.9
AAAF,00,CCCCCCCNC(=O)c1ccc(N2CCN(CC(=O)OC)CC2)cc1,generated,375.51300000000015,2.6818,0.5032055068771372,99.9
AAAG,00,COc1ccc(-c2nc(-c3ccccc3)no2)cc1F,generated,270.26300000000003,3.5513000000000012,0.7298524591637646,99.9
AAAH,00,CCCNC(=O)c1ccc(NC(=O)c2c(OC)ccc(C#N)c2OC)cc1,generated,367.40500000000014,2.9675800000000017,0.7834997013598102,99.9
AAAI,00,CCCCCCCCCCCCCCCCCCCCCCNC(=O)c1ccc(-c2ccc(C)c(F)c2)cc1,generated,537.8480000000006,11.352819999999989,0.14030666733598762,99.9
AAAJ,00,COC(=O)C(CCO)CCCN1CCC(n2cc(-c3ccccc3)nc2C)C1,generated,385.50800000000015,3.0571200000000016,0.6721675397580578,99.9
AAAK,00,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,generated,593.1220000000004,15.212499999999961,0.07037291520893435,99.9
AAAL,00,CCCCCCCCCCCCCC1CCC(O)C(O)C(O)C(O)C(C)C(C)(C)CC1,generated,442.72500000000014,5.983600000000008,0.28010508233759746,99.9
AAAM,00,CCCCCCCC1CCCCCCCCCCCCCCCN1,generated,337.63600000000014,7.780100000000008,0.4877652825586271,99.9
AAAN,00,COC(=O)CCc1cscn1,generated,171.22099999999998,1.2487,0.6423443738038804,99.9
AAAO,00,COC(=O)c1ccncc1Cl,generated,171.583,1.5215999999999998,0.6018099483059698,99.9
AAAP,00,CCOC(=O)C1=C(C)CCCCC1,generated,182.26299999999995,2.8301000000000016,0.6137056562407558,99.9
AAAQ,00,CCOc1ncc(C)cn1,generated,138.17,1.18372,0.6152043790148862,99.9
AAAR,00,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCc1ccccc1,generated,709.3289999999997,19.02329999999998,0.059210338191414365,99.9
AAAS,00,COC(=O)Nc1nccc(C(F)(F)F)n1,generated,221.138,1.6736999999999995,0.7829216419584304,99.9
AAAT,00,CCCCCCCCCCCCCCCCCCCCOc1ccc(OC)cc1OC,generated,434.7050000000003,9.124300000000002,0.17023593792760933,99.9
AAAU,00,Clc1ccc(-c2c(Cl)cccc2Cl)cc1Cl,generated,291.992,5.967200000000003,0.6072884054188123,99.9
AAAV,00,CCc1nc(C)n(C)c1C,generated,138.214,1.59934,0.5760357908670355,99.9
AAAW,00,CN(C)c1cc(F)cc(F)c1,generated,157.16299999999995,2.0308,0.6025002496277386,99.9
AAAX,00,Cc1ccc(F)cc1C(F)(F)F,generated,178.128,3.1529200000000013,0.5350807511033322,99.9
